province_state,country_region,confirmed,deaths,recovered,active,lat,lon,date,new_confirmed,new_recovered,new_deaths,total_infect,deaths_rate,country_pop2018,perc_ctry_cnfrm,perc_ctry_rcvrd,perc_ctry_dead,perc_pop_infect,day_virus
Anhui,China,1,0,0,0,31.8257,117.2264,2020-01-22,1,0,0,1,0,1400812636,0.00003905,0.000002,0.00000121,0.00000007,1
Beijing,China,14,0,0,0,40.1824,116.4142,2020-01-22,13,0,0,14,0,1400812636,0.00003905,0.000002,0.00000121,0.00000100,1
Chongqing,China,6,0,0,0,30.0572,107.874,2020-01-22,-8,0,0,6,0,1400812636,0.00003905,0.000002,0.00000121,0.00000043,1
Fujian,China,1,0,0,0,26.0789,117.9874,2020-01-22,-5,0,0,1,0,1400812636,0.00003905,0.000002,0.00000121,0.00000007,1
Gansu,China,0,0,0,0,36.0611,103.8343,2020-01-22,-1,0,0,0,0,1400812636,0.00003905,0.000002,0.00000121,0.00000000,1
Guangdong,China,26,0,0,0,23.3417,113.4244,2020-01-22,26,0,0,26,0,1400812636,0.00003905,0.000002,0.00000121,0.00000186,1
Guangxi,China,2,0,0,0,23.8298,108.7881,2020-01-22,-24,0,0,2,0,1400812636,0.00003905,0.000002,0.00000121,0.00000014,1
Guizhou,China,1,0,0,0,26.8154,106.8748,2020-01-22,-1,0,0,1,0,1400812636,0.00003905,0.000002,0.00000121,0.00000007,1
Hainan,China,4,0,0,0,19.1959,109.7453,2020-01-22,3,0,0,4,0,1400812636,0.00003905,0.000002,0.00000121,0.00000029,1
Hebei,China,1,0,0,0,38.0428,114.5149,2020-01-22,-3,0,0,1,0,1400812636,0.00003905,0.000002,0.00000121,0.00000007,1
Heilongjiang,China,0,0,0,0,47.862,127.7615,2020-01-22,-1,0,0,0,0,1400812636,0.00003905,0.000002,0.00000121,0.00000000,1
Henan,China,5,0,0,0,33.882,113.614,2020-01-22,5,0,0,5,0,1400812636,0.00003905,0.000002,0.00000121,0.00000036,1
Hubei,China,444,17,28,0,30.9756,112.2707,2020-01-22,444,28,17,489,3.476482617586912,1400812636,0.00003905,0.000002,0.00000121,0.00003491,1
Hunan,China,4,0,0,0,27.6104,111.7088,2020-01-22,-440,-28,-17,4,0,1400812636,0.00003905,0.000002,0.00000121,0.00000029,1
Inner Mongolia,China,0,0,0,0,44.0935,113.9448,2020-01-22,-4,0,0,0,0,1400812636,0.00003905,0.000002,0.00000121,0.00000000,1
Jiangsu,China,1,0,0,0,32.9711,119.455,2020-01-22,1,0,0,1,0,1400812636,0.00003905,0.000002,0.00000121,0.00000007,1
Jiangxi,China,2,0,0,0,27.614,115.7221,2020-01-22,1,0,0,2,0,1400812636,0.00003905,0.000002,0.00000121,0.00000014,1
Jilin,China,0,0,0,0,43.6661,126.1923,2020-01-22,-2,0,0,0,0,1400812636,0.00003905,0.000002,0.00000121,0.00000000,1
Liaoning,China,2,0,0,0,41.2956,122.6085,2020-01-22,2,0,0,2,0,1400812636,0.00003905,0.000002,0.00000121,0.00000014,1
Ningxia,China,1,0,0,0,37.2692,106.1655,2020-01-22,0,0,0,1,0,1400812636,0.00003905,0.000002,0.00000121,0.00000007,1
