Year, Week, Age Group,A (H1),A (Unable to Subtype),A (H3),A (H1N1)pdm09,A (Subtyping not Performed),B (Victoria Lineage),B (Yamagata Lineage),B (Lineage Unspecified),H3N2v
2019,40,0-4 yr,0,0,4,3,4,6,0,1,0
2019,41,0-4 yr,0,0,2,5,3,15,0,0,0
2019,42,0-4 yr,0,0,14,4,0,15,0,4,0
2019,43,0-4 yr,0,0,4,4,0,12,0,3,0
2019,44,0-4 yr,0,0,7,6,0,12,1,0,0
2019,45,0-4 yr,0,0,6,5,0,21,1,3,0
2019,46,0-4 yr,0,0,13,18,2,40,0,4,0
2019,47,0-4 yr,0,0,6,40,0,44,1,16,0
2019,48,0-4 yr,0,0,12,51,0,85,1,20,0
2019,49,0-4 yr,0,0,13,67,0,112,0,20,0
2019,50,0-4 yr,0,0,9,77,1,87,0,35,0
2019,51,0-4 yr,0,0,6,101,0,133,1,33,0
2019,52,0-4 yr,0,0,9,131,0,194,4,42,0
2020,1,0-4 yr,0,0,8,116,2,189,4,29,0
2020,2,0-4 yr,0,0,7,112,3,126,1,25,0
2020,3,0-4 yr,0,0,5,158,5,137,1,30,0
2020,4,0-4 yr,0,0,6,180,4,142,1,32,0
2020,5,0-4 yr,0,0,5,205,3,110,0,24,0
2020,6,0-4 yr,0,0,4,181,6,77,0,23,0
2020,7,0-4 yr,0,0,4,141,4,70,0,19,0
2020,8,0-4 yr,0,0,4,145,8,44,0,14,0
2020,9,0-4 yr,0,0,3,140,5,44,0,13,0
2020,10,0-4 yr,0,0,4,111,2,19,0,14,0
2020,11,0-4 yr,0,0,5,44,2,8,0,3,0
2020,12,0-4 yr,0,0,1,9,0,2,0,1,0
2019,40,5-24 yr,0,0,10,7,17,39,1,1,0
2019,41,5-24 yr,0,0,12,6,13,41,0,3,0
2019,42,5-24 yr,0,0,15,11,1,37,1,6,0
2019,43,5-24 yr,0,0,13,13,1,55,1,9,0
2019,44,5-24 yr,0,0,13,12,1,70,2,21,0
2019,45,5-24 yr,0,0,23,20,0,123,3,48,0
2019,46,5-24 yr,0,0,4,30,0,175,1,46,0
2019,47,5-24 yr,0,0,20,42,2,246,2,81,0
2019,48,5-24 yr,0,0,21,82,3,253,3,51,0
2019,49,5-24 yr,0,0,16,98,0,272,4,83,0
2019,50,5-24 yr,0,0,16,162,3,445,7,148,0
2019,51,5-24 yr,0,0,13,240,2,556,5,164,0
2019,52,5-24 yr,0,0,11,202,2,624,7,111,0
2020,1,5-24 yr,0,0,10,137,2,344,4,70,0
2020,2,5-24 yr,0,0,13,207,6,341,2,87,0
2020,3,5-24 yr,0,0,19,308,11,455,3,135,0
2020,4,5-24 yr,0,0,26,372,4,558,2,156,0
2020,5,5-24 yr,0,0,27,523,2,521,2,196,0
2020,6,5-24 yr,0,0,38,437,5,395,1,195,0
2020,7,5-24 yr,0,0,20,401,7,306,4,156,0
2020,8,5-24 yr,0,0,24,307,21,261,2,91,0
2020,9,5-24 yr,0,0,13,282,20,200,0,76,0
2020,10,5-24 yr,0,0,14,190,15,126,0,59,0
2020,11,5-24 yr,0,0,11,99,2,39,0,19,0
2020,12,5-24 yr,0,0,5,17,1,12,0,4,0
2019,40,25-64 yr,0,0,15,10,0,11,0,2,0
2019,41,25-64 yr,0,0,12,11,4,11,2,1,0
2019,42,25-64 yr,0,0,20,16,1,16,2,2,0
2019,43,25-64 yr,0,0,23,25,1,22,2,3,0
2019,44,25-64 yr,0,0,16,22,1,20,0,7,0
2019,45,25-64 yr,0,0,11,52,4,39,1,10,0
2019,46,25-64 yr,0,0,11,54,1,56,2,15,0
2019,47,25-64 yr,0,0,23,92,2,84,2,34,0
2019,48,25-64 yr,0,0,20,137,5,110,3,38,0
2019,49,25-64 yr,0,0,22,191,2,162,4,63,0
2019,50,25-64 yr,0,0,23,235,2,180,4,55,0
2019,51,25-64 yr,0,0,12,363,7,246,5,56,0
2019,52,25-64 yr,0,0,19,464,9,333,5,64,0
2020,1,25-64 yr,0,0,36,515,10,418,7,73,0
2020,2,25-64 yr,0,0,24,477,4,338,7,73,0
2020,3,25-64 yr,0,0,12,558,14,291,4,68,0
2020,4,25-64 yr,0,0,15,743,11,259,1,67,0
2020,5,25-64 yr,0,0,23,938,13,221,1,62,0
2020,6,25-64 yr,0,0,22,946,12,175,1,49,0
2020,7,25-64 yr,0,0,11,786,21,144,3,67,0
2020,8,25-64 yr,0,0,11,713,57,120,2,58,0
2020,9,25-64 yr,0,0,15,641,30,91,3,43,0
2020,10,25-64 yr,0,0,9,496,37,55,0,47,0
2020,11,25-64 yr,0,0,8,240,18,35,0,16,0
2020,12,25-64 yr,0,0,2,63,8,4,0,1,0
2019,40,65+ yr,0,0,20,1,0,0,0,0,0
2019,41,65+ yr,0,0,27,8,2,3,0,0,0
2019,42,65+ yr,0,0,26,3,0,2,0,0,0
2019,43,65+ yr,0,0,22,3,1,3,1,0,0
2019,44,65+ yr,0,0,17,4,0,4,2,0,0
2019,45,65+ yr,0,0,15,9,2,7,3,0,0
2019,46,65+ yr,0,0,21,20,1,9,2,3,0
2019,47,65+ yr,0,0,20,25,2,11,2,5,0
2019,48,65+ yr,0,0,22,48,1,12,1,2,0
2019,49,65+ yr,0,0,24,59,0,22,4,6,0
2019,50,65+ yr,0,0,25,73,1,32,1,9,0
2019,51,65+ yr,0,0,14,94,7,34,4,4,0
2019,52,65+ yr,0,0,33,249,2,78,7,14,0
2020,1,65+ yr,0,0,29,260,5,129,6,26,0
2020,2,65+ yr,0,0,28,199,4,66,7,9,0
2020,3,65+ yr,0,0,17,234,6,64,3,5,0
2020,4,65+ yr,0,0,24,257,2,49,2,7,0
2020,5,65+ yr,0,0,22,386,6,68,2,0,0
